RUN	Model25PHigh	model25phigh	1612215145494	 	3.3.1
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 21 with intensity 15	281	START	1612215146735	1612215146735
USER	Client 2 attacks server 1 at address localhost:8081 looking for resource 21 with intensity 15	88	START	1612215146726	1612215146726
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 21 with intensity 15	279	START	1612215146734	1612215146734
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 21 with intensity 15	282	START	1612215146735	1612215146735
USER	Client 6 attacks server 3 at address localhost:8083 looking for resource 22 with intensity 15	95	START	1612215146727	1612215146727
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 21 with intensity 15	284	START	1612215146735	1612215146735
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 21 with intensity 15	285	START	1612215146735	1612215146735
USER	Client 1 attacks server 0 at address localhost:8080 looking for resource 21 with intensity 15	286	START	1612215146735	1612215146735
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 21 with intensity 15	287	START	1612215146735	1612215146735
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 21 with intensity 15	288	START	1612215146735	1612215146735
USER	Client 8 attacks server 4 at address localhost:8084 looking for resource 21 with intensity 15	289	START	1612215146735	1612215146735
